TransactionID,CustomerName,Email,PhoneNumber,Location,Country,AccountNumber,TransactionType,TransactionAmount,TransactionDate,CreditCardNumber,Currency,Merchant
QR16YJAV,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Castilloview,USA,2555569327,Credit,2890.38,25-01-2025,4471 6272 3863 7147,USD,Amazon
ZQ5QR70F,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,Ashleyhaven,USA,2276660858,Credit,557.35,12-03-2025,8219 6615 7334 5051,,Walmart
ZYE9JOZL,John Doe,johndoe@example.com,+1 202-555-0123,  Debbiemouth,USA,8762774158,Debit,3570.03,30-01-2025,4347 6527 9743 0384,USD,Amazon
P32L7DP5,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,  Mayfort,USA,4894919198,Credit,-4969.8,09-02-2025,8340 7996 5903 2598,usd,Netflix
3ONLPEVE,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,North Jasonmouth,USA,5194858540,Credit,3151.47,24-01-2025,2763 5434 9657 0555,usd,Best Buy
V8E1YKY3,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,South Kelli,USA,5108366689,Credit,2221.91,23-01-2025,5180 9190 5855 7415,usd,Walmart
TQ7FVG2U,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,West Sylvia,,6083215699,Credit,2626.79,04-03-2025,3891 9413 4809 5637,usd,Starbucks
LY8HNZHQ,John Doe,johndoe@example.com,+1 202-555-0123,Johnland,USA,7661176145,Debit,-1198.85,11-02-2025,5768 7118 6995 8310,usd,Costco
OBDDHGW8,John Doe,johndoe@example.com,+1 202-555-0123,  Hinesland,USA,4305086200,Debit,628.4,21-01-2025,2433 6830 4303 6387,usd,Apple Store
5DUN0B8K,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,Port Robert,USA,6190467413,Credit,3413.57,18-02-2025,1568 0610 1133 6071,usd,Amazon
OK6UA875,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Mcintyreborough,USA,7169249930,Credit,4849.37,20-01-2025,7496 2196 9080 1019,usd,Walmart
PYOW7M5Y,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Port Brendafurt,,7633088095,Credit,1507.2,11-02-2025,7993 1299 1500 3245,usd,Costco
8R6XGKOX,John Doe,johndoe@example.com,+1 202-555-0123,East Gavin,USA,7046237018,Credit,4991.45,15-01-2025,1727 6132 1401 4260,usd,Amazon
FN1O0IBX,Emily Davis,emily.davis@example.com.au,+61 400 123 456,  Wendyton,USA,9003053190,Credit,226.57,10-03-2025,8829 2433 3877 3690,usd,Uber
XZOMQSJ5,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,East Josephview,USA,2859825824,Debit,3199.82,20-01-2025,4799 4358 3134 4490,USD,Walmart
CUJVOQQ9,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Port Tracyshire,USA,7939458713,Credit,1671.13,21-02-2025,3769 6602 1068 2318,USD,Walmart
08XGTNPJ,Robert Brown,robert.brown@example.fr,+33 6 12 34 56 78,East David,USA,6277849723,Credit,3094.08,22-02-2025,2004 9683 3861 0940,USD,Costco
TV0PJ0EC,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,Beanmouth,USA,4402583599,Credit,2580.16,16-02-2025,5185 3469 9012 6779,USD,Costco
GEC7ZACZ,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,  Parsonston,,4003510524,Credit,3062.16,07-02-2025,5382 1182 9039 7270,USD,Costco
TTRBZWCA,John Doe,johndoe@example.com,+1 202-555-0123,New Jacqueline,USA,7118418692,Debit,3459.33,24-01-2025,8686 2849 8623 6271,USD,Costco
AN61BX13,John Doe,johndoe@example.com,+1 202-555-0123,Reedshire,USA,8646780185,Debit,2004.41,01-03-2025,9211 8727 8606 3016,USD,Costco
H6IQNC6Z,John Doe,johndoe@example.com,+1 202-555-0123,Douglasview,USA,4830080687,Credit,4019.21,21-01-2025,7178 3740 9495 0821,USD,Apple Store
ZAPR6X03,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Stephaniefort,USA,3145713593,Debit,2744.72,11-03-2025,3435 5645 9325 9968,USD,Starbucks
97UYS1MV,John Doe,johndoe@example.com,+1 202-555-0123,  Daymouth,USA,2992640199,Debit,1296.31,21-01-2025,3649 4970 7170 8783,USD,Netflix
TY4VO04V,Daniel Wilson,daniel.wilson@example.us,+1 415-555-0198,Morrisonview,USA,8027756155,Debit,1961.56,03-02-2025,1805 5300 5749 8884,USD,Best Buy
XU4BL4UE,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Lake John,USA,9899212157,Debit,392.5,23-02-2025,6809 3766 4108 6517,USD,Best Buy
09W9MTFB,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,Stacychester,USA,8742215713,Debit,3657.29,22-02-2025,1010 3406 6300 1466,USD,Amazon
XJQOCDGK,Alice Smith,alice.smith@example.co.uk,+44 7700 900123,Port Adamfurt,USA,6281638511,Debit,2118.26,17-02-2025,6401 0847 7465 3191,USD,Apple Store
BZTY8GBU,Emily Davis,emily.davis@example.com.au,+61 400 123 456,West Michaeltown,USA,1224398885,Debit,3888.81,11-02-2025,6058 2734 2328 6554,USD,Apple Store
8X389SRP,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,East Sabrinamouth,USA,6368734851,Debit,1324.59,19-01-2025,4810 7341 4218 5031,USD,Costco
K39V8OIO,Emily Davis,emily.davis@example.com.au,+61 400 123 456,North Justinberg,USA,2115469091,Debit,-3474.27,16-01-2025,3967 5192 0098 8827,USD,Best Buy
P2YIPTBW,Sophia Martinez,sophia.martinez@example.es,+34 612 345 678,  Collinsfort,USA,6019848338,Credit,1798.63,17-01-2025,1344 9890 3245 8844,USD,Amazon
